127 3
20 w
17 w
41 r
58 r
40 w
101 w
67 r
27 r
78 r
35 r
85 r
104 r
79 r
89 w
93 w
20 w
26 r
67 r
58 w
85 r
108 w
5 w
61 r
65 w
60 r
87 w
87 w
29 r
67 r
35 w
15 w
68 w
58 w
120 w
102 w
3 r
81 w
94 w
78 w
113 r
119 r
108 r
30 r
32 w
53 w
111 r
88 w
94 w
32 r
120 r
33 w
52 w
47 w
70 w
44 w
124 r
30 r
93 w
85 w
113 w
38 w
47 r
87 w
54 w
51 r
20 r
33 w
40 w
10 w
64 w
8 w
59 r
30 w
109 w
33 w
19 r
21 w
20 w
83 w
1 r
41 w
39 w
14 w
53 w
14 w
109 w
90 r
115 w
99 w
110 w
67 w
33 w
19 w
70 r
10 w
85 w
16 r
58 w
8 w
125 r
64 w
5 w
74 w
30 r
118 r
67 w
50 w
81 r
6 w
107 r
88 r
23 w
77 w
80 r
0 r
100 r
66 w
29 r
112 w
97 r
89 r
91 w
126 w
42 w
41 w
56 r
35 w
25 r
74 w
106 w
100 r
108 w
45 w
123 w
19 w
19 w
10 r
5 w
87 w
9 r
25 r
55 w
125 w
83 r
89 w
83 r
78 w
118 w
98 w
112 r
80 r
7 w
0 w
88 r
75 r
13 r
19 w
50 w
101 r
77 r
115 w
21 w
27 r
58 r
10 r
94 r
85 w
20 w
48 w
16 r
88 r
83 w
106 r
126 r
39 r
19 w
125 r
54 r
116 r
20 r
81 r
63 w
1 r
122 r
2 r
18 w
27 w
80 r
22 w
35 w
12 r
43 r
67 w
49 r
111 r
41 w
43 r
50 w
44 r
77 w
64 w
43 r
36 w
121 r
24 r
43 w
81 r
110 r
47 w
75 w
59 r
12 w
65 w
45 w
96 w
14 w
69 w
15 r
122 w
72 r
30 w
120 r
13 r
85 w
43 r
40 w
46 w
61 w
66 r
124 w
85 w
75 r
4 r
11 w
53 w
103 w
79 r
82 r
113 w
31 w
105 w
106 r
35 w
103 r
106 r
77 r
116 w
47 w
71 r
64 w
12 r
50 w
1 w
15 r
11 r
48 r
61 w
85 w
0 r
72 r
19 r
64 w
92 w
109 w
121 r
18 r
95 r
126 r
119 r
88 r
57 w
84 w
45 w
104 r
14 w
91 r
99 w
2 w
66 r
26 r
97 w
69 w
8 r
117 r
104 r
98 r
28 w
54 w
103 r
38 w
29 w
3 w
19 w
17 r
21 r
29 r
28 r
20 r
58 w
34 w
13 w
29 r
67 w
26 r
109 r
21 w
123 r
22 w
2 w
43 r
6 r
123 w
90 r
79 w
38 r
36 r
17 r
61 r
125 r
81 r
11 w
80 r
123 r
95 r
55 w
120 r
118 w
105 r
39 w
24 w
116 w
42 r
86 r
119 w
1 w
125 r
51 r
5 r
16 r
123 r
119 r
68 w
18 r
66 w
43 w
35 r
59 w
94 r
75 r
97 r
66 w
120 w
11 r
104 r
103 r
30 w
1 w
19 w
112 r
48 w
79 w
117 r
123 r
22 w
97 r
31 w
6 w
24 w
99 r
113 w
41 w
59 w
57 r
21 w
9 r
118 w
25 w
45 w
36 r
23 r
3 r
10 w
120 w
96 w
52 r
82 r
56 w
99 w
37 r
42 w
104 w
86 r
20 r
41 w
59 w
91 w
0 w
16 w
95 r
78 r
40 r
38 w
56 w
73 w
103 w
97 w
12 r
43 r
93 w
56 w
62 w
80 w
23 w
61 r
72 w
95 r
32 w
31 w
86 w
78 w
21 w
82 w
47 r
122 w
4 w
93 w
31 r
2 w
58 w
77 w
4 w
72 r
79 w
82 w
35 w
108 w
74 r
41 w
105 w
90 w
59 r
62 r
89 w
91 r
85 r
41 r
113 w
68 r
92 w
57 w
114 r
109 r
57 r
93 w
23 w
47 w
16 r
79 r
34 r
32 r
15 r
52 w
39 r
35 w
99 w
110 w
121 w
57 w
113 w
75 w
45 w
56 w
10 w
12 r
